id;action;detail;created_at;user_id
1;so unlike supposing;../fake-data/blob/hipster.txt;2025-09-05T22:00:34;1
2;aside disgorge on;../fake-data/blob/hipster.txt;2025-09-05T18:54:50;2
3;topsail;../fake-data/blob/hipster.txt;2025-09-06T00:04:23;3
4;official;../fake-data/blob/hipster.txt;2025-09-05T17:31:02;4
5;fragrant hence;../fake-data/blob/hipster.txt;2025-09-05T09:43:28;5
6;among whoa;../fake-data/blob/hipster.txt;2025-09-05T20:25:27;6
7;times readmit;../fake-data/blob/hipster.txt;2025-09-05T14:48:36;7
8;absentmindedly blink um;../fake-data/blob/hipster.txt;2025-09-05T16:03:45;8
9;secret oh verbally;../fake-data/blob/hipster.txt;2025-09-05T19:04:20;9
10;intermix finished quicker;../fake-data/blob/hipster.txt;2025-09-05T17:09:16;10
